30
1 0 180.00 1 0.0100 5.00
2 1 200.00 2 0.0120 5.00
3 2 400.00 2 0.0140 4.80
4 3 600.00 2 0.0030 4.50
5 4 250.00 2 0.0150 5.00
6 5 350.00 3 0.0080 4.00
7 6 3.00 3 1.2500 4.50
8 7 8.00 4 0.3000 3.50
9 8 160.00 4 0.0080 4.00
10 9 300.00 5 0.0060 4.50
11 10 250.00 5 0.0070 4.00
12 11 150.00 6 0.0120 3.00
13 12 120.00 6 0.0110 4.00
14 13 6.00 4 0.2000 3.50
15 14 100.00 10 0.0100 2.50
16 15 350.00 3 0.0180 4.80
17 16 200.00 10 0.0040 2.50
18 17 300.00 14 0.0030 2.00
19 18 50.00 14 0.0080 2.00
20 19 500.00 90 0.0030 1.00
21 20 500.00 90 0.0040 1.00
22 21 400.00 60 0.0030 1.00
23 22 500.00 90 0.0040 1.00
24 23 400.00 120 0.0150 1.00
25 24 250.00 60 0.0080 1.20
26 25 200.00 180 0.0120 1.00
27 26 400.00 180 0.0050 1.00
28 27 150.00 60 0.0180 1.50
29 28 100.00 90 0.0160 1.00
30 29 200.00 120 0.0080 1.00
